name,number_of_episodes,original_language,vote_count,vote_average,vote_Avg_Category
Legion,27,en,1238,7.6,2
Sweet Tooth,24,en,1237,7.892,2
New Girl,146,en,1231,7.354,2
Over the Garden Wall,10,en,1230,8.538,3
S.W.A.T.,128,en,1225,8.122,3
Doom Patrol,46,en,1211,7.629,2
White Collar,80,en,1205,8.3,3
Shadow and Bone,16,en,1203,7.994,2
La Brea,30,en,1200,7.441,2
Sex/Life,14,en,1200,7.138,2
Watchmen,9,en,1192,7.715,2
Ranma ½,161,ja,1191,8.631,3
What Life Took From Me,197,es,1187,7.679,2
Daughter from Another Mother,27,es,1185,7.611,2
Arrested Development,84,en,1173,8.0,2
Black Sails,38,en,1172,7.601,2
It's Okay to Not Be Okay,16,ko,1172,8.57,3
The IT Crowd,24,en,1171,8.115,3
BAKI,39,ja,1167,8.135,3
The Rising of the Shield Hero,50,ja,1165,8.581,3
Xena: Warrior Princess,134,en,1161,7.584,2
Narcos: Mexico,30,en,1160,7.939,2
Penny Dreadful,27,en,1160,7.8,2
Brazil Avenue,179,pt,1154,8.1,3
The Resident,107,en,1152,8.5,3
Emily in Paris,30,en,1152,7.775,2
Mr. Bean,14,en,1150,7.967,2
KONOSUBA – God's blessing on this wonderful world!!,21,ja,1146,8.63,3
Saint Seiya,114,ja,1144,8.519,3
The Last Dance,10,en,1144,8.246,3
Haikyu!!,85,ja,1144,8.627,3
Who Killed Sara?,25,es,1132,7.638,2
Power,63,en,1127,7.7,2
Knight Rider,84,en,1123,7.518,2
Fleabag,12,en,1123,8.318,3
Star Trek,79,en,1122,8.1,3
Drawn Together,36,en,1120,8.199,3
Elfen Lied,13,ja,1115,8.393,3
Orphan Black,50,en,1114,7.8,2
The Rain,20,da,1113,7.342,2
Only Murders in the Building,30,en,1110,8.5,3
Locke & Key,28,en,1104,7.903,2
Killing Eve,32,en,1101,8.0,2
Mare of Easttown,7,en,1100,8.275,3
Warrior Nun,18,en,1098,8.089,3
The Man in the High Castle,40,en,1092,7.5,2
Rome,22,en,1090,8.263,3
Taboo,8,en,1090,7.899,2
Castlevania,32,en,1082,8.266,3
Snowpiercer,30,en,1082,7.445,2
Skins,61,en,1082,8.179,3
El Capo,226,es,1080,7.662,2
Amor Real,95,es,1077,7.716,2
Archer,139,en,1074,7.927,2
Sweet Home,10,ko,1059,8.433,3
Teen Titans,65,en,1059,8.322,3
Rascal Does Not Dream of Bunny Girl Senpai,13,ja,1058,8.6,3
NCIS: Los Angeles,323,en,1053,7.563,2
Falling Skies,52,en,1052,7.077,2
Without Breasts There Is No Paradise,169,es,1051,7.469,2
CSI: Crime Scene Investigation,335,en,1051,7.667,2
Steven Universe,154,en,1051,8.458,3
Carnival Row,18,en,1050,7.812,2
Vecinos,264,es,1048,8.144,3
Scream: The TV Series,29,en,1047,6.9,2
Parasyte -the maxim-,24,ja,1047,8.423,3
Heartstopper,17,en,1044,8.67,3
The Walking Dead: World Beyond,20,en,1043,7.53,2
DC's Stargirl,39,en,1035,7.786,2
BEASTARS,24,ja,1034,8.557,3
Henry Danger,121,en,1032,8.265,3
Tokyo Revengers,50,ja,1031,8.543,3
My Heart is Yours,177,es,1031,8.001,3
Banshee,38,en,1025,7.971,2
La familia P. Luche,80,es,1023,7.575,2
Mad Men,92,en,1023,8.105,3
Dororo,24,ja,1023,8.586,3
The OA,16,en,1019,7.599,2
Surviving Escobar - Alias JJ,69,es,1019,7.78,2
The Tom and Jerry Show,48,en,1018,7.682,2
X-Men,76,en,1018,8.19,3
Soy Luna,220,es,1017,7.931,2
Ecomoda,35,es,1014,7.838,2
Preacher,43,en,1009,7.48,2
1899,8,de,1007,7.644,2
The Nanny,145,en,1006,8.124,3
Chicago Med,163,en,1006,8.334,3
Cyberpunk: Edgerunners,10,ja,1004,8.589,3
100 días para enamorarnos,92,es,1002,7.7,2
Upload,25,en,994,8.0,2
ALF,101,en,992,7.681,2
Merlí,40,ca,991,8.617,3
Ratched,8,en,989,7.75,2
Ben 10: Alien Force,46,en,986,8.327,3
Young Justice,98,en,982,8.5,3
Foundation,20,en,979,7.895,2
Zoey 101,65,en,975,8.174,3
The Orville,36,en,975,7.6,2
Mob Psycho 100,37,ja,975,8.568,3
Trollhunters: Tales of Arcadia,52,en,973,8.453,3
The Promised Neverland,23,ja,973,8.511,3
Stairway to Heaven,20,ko,972,8.083,3
Californication,84,en,971,7.661,2
"Sabrina, the Teenage Witch",163,en,971,7.863,2
12 Monkeys,47,en,970,7.441,2
Danny Phantom,49,en,970,8.351,3
Atypical,38,en,965,8.183,3
9-1-1: Lone Star,60,en,962,8.1,3
Acapulco Shore,146,es,962,7.863,2
