Name of movie,Year of relase,Watchtime,Movie Rating,Votes,Gross collection,Director,Star,Rating_Category
Silver Linings Playbook,2012,122,7.7,"7,30,680",$132.09M,David O. Russell,"['Bradley Cooper', 'Jennifer Lawrence', 'Robert De Niro', 'Jacki Weaver']",Low
The Game,1997,129,7.7,"4,17,601",$48.32M,David Fincher,"['Michael Douglas', 'Deborah Kara Unger', 'Sean Penn', 'James Rebhorn']",Low
Verdens verste menneske,2021,128,7.7,"87,729",*****,Joachim Trier,"['Renate Reinsve', 'Anders Danielsen Lie', 'Herbert Nordrum', 'Hans Olav Brenner']",Low
Tangled,2010,100,7.7,"4,80,254",$200.82M,"Directors:Nathan Greno, Byron Howard","['Mandy Moore', 'Zachary Levi', 'Donna Murphy', 'Ron Perlman']",Low
Y tu mamá también,2001,106,7.7,"1,27,286",$13.62M,Alfonso Cuarón,"['Maribel Verdú', 'Gael García Bernal', 'Daniel Giménez Cacho', 'Ana López Mercado']",Low
First Blood,1982,93,7.7,"2,68,079",$47.21M,Ted Kotcheff,"['Sylvester Stallone', 'Brian Dennehy', 'Richard Crenna', 'Bill McKinney']",Low
The Count of Monte Cristo,2002,131,7.7,"1,45,590",$54.23M,Kevin Reynolds,"['Jim Caviezel', 'Guy Pearce', 'Christopher Adamson', 'JB Blanc']",Low
Zwartboek,2006,145,7.7,"79,383",$4.40M,Paul Verhoeven,"['Carice van Houten', 'Sebastian Koch', 'Thom Hoffman', 'Halina Reijn']",Low
Brokeback Mountain,2005,134,7.7,"3,73,816",$83.04M,Ang Lee,"['Jake Gyllenhaal', 'Heath Ledger', 'Michelle Williams', 'Randy Quaid']",Low
Blue Velvet,1986,120,7.7,"2,10,315",$8.55M,David Lynch,"['Isabella Rossellini', 'Kyle MacLachlan', 'Dennis Hopper', 'Laura Dern']",Low
Sound of Metal,2019,120,7.7,"1,43,274",*****,Darius Marder,"['Riz Ahmed', 'Olivia Cooke', 'Paul Raci', 'Lauren Ridloff']",Low
Argo,2012,120,7.7,"6,30,886",$136.03M,Ben Affleck,"['Ben Affleck', 'Bryan Cranston', 'John Goodman', 'Alan Arkin']",Low
Deliverance,1972,109,7.7,"1,16,891",$7.06M,John Boorman,"['Jon Voight', 'Burt Reynolds', 'Ned Beatty', 'Ronny Cox']",Low
Druk,2020,117,7.7,"1,82,777",*****,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Magnus Millang', 'Lars Ranthe']",Low
Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,"6,54,275",$42.34M,Alejandro G. Iñárritu,"['Michael Keaton', 'Zach Galifianakis', 'Edward Norton', 'Andrea Riseborough']",Low
The French Connection,1971,104,7.7,"1,31,663",$15.63M,William Friedkin,"['Gene Hackman', 'Roy Scheider', 'Fernando Rey', 'Tony Lo Bianco']",Low
The Boy in the Striped Pajamas,2008,94,7.7,"2,36,652",$9.03M,Mark Herman,"['Asa Butterfield', 'David Thewlis', 'Rupert Friend', ""Zac Mattoon O'Brien""]",Low
Crash,I 2004,112,7.7,"4,45,293",$54.58M,Paul Haggis,"['Don Cheadle', 'Sandra Bullock', 'Thandiwe Newton', 'Karina Arroyave']",Low
The Boondock Saints,1999,108,7.7,"2,46,481",$0.03M,Troy Duffy,"['Willem Dafoe', 'Sean Patrick Flanery', 'Norman Reedus', 'David Della Rocco']",Low
Der Name der Rose,1986,130,7.7,"1,14,065",$7.15M,Jean-Jacques Annaud,"['Sean Connery', 'Christian Slater', 'Helmut Qualtinger', 'Elya Baskin']",Low
Goldfinger,1964,110,7.7,"1,98,544",$51.08M,Guy Hamilton,"['Sean Connery', 'Gert Fröbe', 'Honor Blackman', 'Shirley Eaton']",Low
Gravity,2013,91,7.7,"8,50,076",$274.09M,Alfonso Cuarón,"['Sandra Bullock', 'George Clooney', 'Ed Harris', 'Orto Ignatiussen']",Low
Toy Story 4,2019,100,7.7,"2,70,432",$434.04M,Josh Cooley,"['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale']",Low
Who Framed Roger Rabbit,1988,104,7.7,"2,11,943",$156.45M,Robert Zemeckis,"['Bob Hoskins', 'Christopher Lloyd', 'Joanna Cassidy', 'Charles Fleischer']",Low
